Soil_pH,Soil_Moisture_%,Soil_Temperature_C,Electrical_Conductivity_dS_m,Nitrogen_ppm,Phosphorus_ppm,Potassium_ppm,Organic_Carbon_%,Soil_Texture,Nutrient_Quality_Score
4.09,31.27,38.03,3.13,574.49,,464.61,0.91,Loamy,9.6
5.5,67.05,43.39,1.89,316.1,2.05,569.82,0.37,Loamy,5.27
8.68,16.56,30.23,1.0,405.91,18.2,361.63,2.34,Sandy,7.53
8.73,10.15,27.24,4.46,404.55,3.29,,1.72,Sandy,11.96
4.32,23.3,,0.14,397.92,11.02,,2.13,Loamy,8.09
5.92,17.58,10.68,4.58,233.13,164.14,593.46,2.63,Sandy,0.74
8.6,3.91,22.86,0.93,,179.27,519.65,3.46,Clay,10.04
4.55,33.52,,2.96,70.3,94.81,583.73,1.17,,4.63
8.23,29.04,19.02,3.25,287.77,64.47,371.46,3.12,Sandy,10.85
9.01,23.93,6.61,5.52,206.78,6.65,,2.42,Sandy,5.83
7.88,,,4.98,414.74,145.86,240.39,2.94,Clay,3.14
7.08,54.83,29.38,2.24,13.18,219.23,350.83,0.78,Loamy,2.02
6.35,30.29,27.41,2.74,24.24,173.58,147.14,2.85,Sandy,8.0
6.15,48.08,27.89,0.19,541.12,161.88,164.35,0.11,,11.56
5.24,18.01,17.85,1.54,242.13,134.98,599.67,2.13,Clay,3.02
6.89,56.82,23.88,3.23,162.93,127.38,274.79,2.44,Sandy,5.03
7.94,6.17,26.87,4.68,74.03,,576.55,2.69,Clay,11.76
6.74,63.43,44.65,4.39,100.72,187.46,449.87,0.24,Clay,1.74
7.78,54.55,40.72,1.67,17.59,88.54,511.42,0.69,Clay,6.33
5.43,22.74,6.97,2.2,454.24,221.26,67.99,1.13,Clay,6.4
9.29,10.38,46.69,2.16,77.06,80.95,409.09,3.22,Clay,3.86
7.84,31.81,27.88,5.29,583.88,,,1.55,Loamy,10.98
8.61,32.64,12.92,2.93,17.98,203.77,680.28,0.34,Clay,8.73
8.28,1.45,33.96,2.66,107.75,6.6,639.94,0.93,Loamy,8.75
6.14,63.04,,0.64,581.64,33.02,507.9,0.72,Loamy,10.76
4.71,52.62,23.88,3.88,187.35,,494.89,0.49,Clay,0.34
8.72,34.59,18.76,1.5,491.08,127.19,520.82,1.1,Clay,11.68
5.36,67.9,47.97,3.68,58.39,48.84,98.07,1.09,Sandy,3.56
7.0,22.71,13.34,4.51,215.84,,675.5,1.92,Clay,1.74
8.07,67.4,17.35,3.39,436.33,45.91,142.99,2.79,Loamy,2.5
4.95,42.26,5.09,3.81,53.32,,632.25,2.75,Sandy,11.37
6.8,,34.95,5.53,538.79,174.73,484.66,2.14,,7.05
8.38,46.59,7.92,1.47,562.0,13.34,349.99,1.78,Sandy,7.34
4.38,,29.58,5.75,579.33,221.02,38.65,0.11,Sandy,4.88
7.76,25.14,37.36,0.78,579.0,109.1,390.38,0.35,Clay,6.61
5.78,62.25,27.87,0.45,375.63,243.02,505.39,1.01,Clay,7.62
7.58,18.98,7.24,0.73,495.94,249.05,320.44,0.4,Loamy,6.42
